Altium Designer Pick and Place Locations
C:\Users\harsh\OneDrive\Desktop\GitHub Projects\Wearable-Cardiac-Monitor-JY16-Capstone\Capstone Circuit JY16\Cypress PSoC6 Embedded Bluetooth Solution\Project Outputs for PSoC6-Cardiac-Monitor\Pick Place\Pick Place for PSoC6-Cardiac-PCB.txt

========================================================================================================================
File Design Information:

Date:       02-03-23
Time:       23:28
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment            Layer       Footprint                     Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                           
C31        10uF               TopLayer    FP-GRM155-0_15-IPC_B          2254.000      4355.188      90       "GRM155R60J106ME15D
Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 10uF, X5R, 15%, 20%, 6.3V"                         
C30        10uF               TopLayer    FP-GRM155-0_15-IPC_B          2239.188      4126.000      180      "GRM155R60J106ME15D
Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 10uF, X5R, 15%, 20%, 6.3V"                         
U1         ADP3338AKCZ-3.3-RL TopLayer    ADI-KC-3_L                    2482.000      4240.000      0        "High Accuracy, Ultralow IQ, 1 A, anyCAP(R) Low Dropout Regulator, 2.7 to 8 V Vin, 3.3 V Vout, Industrial, 3-pin SOT223 (KC-3), Reel" 
TP1        TestPoint          TopLayer    TestPoint                     2486.000      4064.000      0        ""                                                                                                                                    
TP9        TestPoint          TopLayer    TestPoint                     2614.000      4370.500      0        ""                                                                                                                                    
TP11       TestPoint          TopLayer    TestPoint                     1882.000      4038.000      0        ""                                                                                                                                    
TP6        TestPoint          TopLayer    TestPoint                     2080.000      4122.000      0        ""                                                                                                                                    
TP4        TestPoint          BottomLayer TestPoint                     1807.356      3821.096      180      ""                                                                                                                                    
TP5        TestPoint          BottomLayer TestPoint                     2155.356      4545.096      180      ""                                                                                                                                    
TP3        TestPoint          TopLayer    TestPoint                     1786.904      4313.356      0        ""                                                                                                                                    
TP2        TestPoint          TopLayer    TestPoint                     2472.000      5344.000      0        ""                                                                                                                                    
L1_BLE     2.7nH              TopLayer    FP-LQP03TG_02-IPC_A           1422.000      5056.051      90       "Film type RF Inductor 2.7nH ±0.1nH 500mA 0.2O 0201 (0603)"                                                                           
R31        470                TopLayer    FP-CRCW0402-e3-MFG            2480.000      5084.000      90       "RES Thick Film, 470O, 1%, 0.063W, 100ppm/°C, 0402"                                                                                   
R30        470                TopLayer    FP-CRCW0402-e3-MFG            2582.000      5084.000      90       "RES Thick Film, 470O, 1%, 0.063W, 100ppm/°C, 0402"                                                                                   
SD_LED     SD                 TopLayer    FP-6_541-5092_01-4-MFG        2476.000      5218.000      270      "LED RED 0603 SMD"                                                                                                                    
BLE        BLE                TopLayer    FP-6_541-5092_01-4-MFG        2580.000      5220.000      270      "LED GREEN 0603 SMD"                                                                                                                  
L2_BLE     3.3nH              TopLayer    FP-LQG18HH_00-MFG             1336.000      5079.425      270      "Multilayer type RF Inductor 3.3nH ±0.3nH 0.12O 1000mA 0603"                                                                          
J3         56579-0576         TopLayer    MOLX-56579-0576_V             2282.102      3866.339      0        "USB Connector, 30 V, 1 A, 0 to 50 degC, 5-Pin SMD, RoHS, Tape and Reel"                                                              
RESET      B3U-1000P          TopLayer    FP-B3U-1000P-MFG              2274.000      5176.000      270      "SWITCH TACTILE SPST-NO 0.05A 12V"                                                                                                    
SD         104031-0811        BottomLayer MOLX-104031-0811_V            2278.000      3878.000      180      "Micro SD Card, RA, -25 to 85 degC, 8-Pin SMD, RoHS, Tape and Reel"                                                                   
R11        CRCW08052K00FKEA   TopLayer    FP-CRCW0805-e3-IPC_B          2092.000      4316.000      0        "RES Thick Film, 2kO, 1%, 0.125W, 100ppm/°C, 0805"                                                                                    
R8         4.7k               BottomLayer RESC1005X40X25LL05T05         2030.252      4140.000      180      "Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                    
R7         4.7k               BottomLayer RESC1005X40X25LL05T05         1990.000      3980.000      270      "Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                    
R6         10k                BottomLayer RESC1005X40X25LL05T10         1992.000      3726.000      90       ""                                                                                                                                    
R5         10k                BottomLayer RESC1005X40X25LL05T10         1988.000      3888.000      90       ""                                                                                                                                    
R4         10k                BottomLayer RESC1005X40X25LL05T10         2560.000      3778.000      90       ""                                                                                                                                    
R3         10k                BottomLayer RESC1005X40X25LL05T10         2558.000      3870.000      270      ""                                                                                                                                    
R2         4.7k               TopLayer    RESC1005X40X25LL05T05         1940.000      5142.000      270      "Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                    
R1         10k                BottomLayer RESC1005X40X25LL05T10         1994.000      3808.764      270      ""                                                                                                                                    
P1         FTSH-105-01-F-DV-K TopLayer    SMTC-FTSH-105-01-L-DV-K_V     1745.882      3864.000      270      "Male Header, Pitch 1.27 mm, 2 x 5 Position, Height 6.12 mm, RoHS, Tube"                                                              
LED        LTST-C190GKT       TopLayer    FP-LTST-C190GKT-MFG           1913.473      4311.000      0        "LED GREEN CLEAR CHIP SMD"                                                                                                            
