AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0.42,-0.46,-9.99,-0.01,0.0,0.03
0.41,-0.42,-9.95,-0.01,0.01,0.03
0.38,-0.46,-10.01,-0.02,0.01,0.02
0.49,-0.44,-9.94,-0.01,0.01,0.02
0.49,-0.44,-9.94,-0.01,0.0,0.03
0.35,-0.45,-10.05,-0.01,0.01,0.03
0.44,-0.51,-10.06,-0.01,0.0,0.03
0.46,-0.37,-10.07,-0.01,0.01,0.02
0.46,-0.37,-10.07,-0.01,0.0,0.03
0.46,-0.44,-10.04,-0.01,0.0,0.03
0.35,-0.5,-9.96,-0.01,0.01,0.03
0.35,-0.5,-9.96,-0.01,0.01,0.02
0.46,-0.39,-9.94,-0.01,0.01,0.03
0.42,-0.38,-10.04,-0.01,0.01,0.03
0.47,-0.34,-9.95,-0.01,0.01,0.03
0.47,-0.34,-9.95,-0.02,0.01,0.03
0.44,-0.38,-9.97,-0.01,0.01,0.02
0.45,-0.42,-9.99,-0.01,0.0,0.02
0.48,-0.44,-10.03,-0.01,0.01,0.02
0.48,-0.44,-10.03,-0.01,0.01,0.02
0.46,-0.45,-10.01,-0.01,0.01,0.02
0.44,-0.42,-10.0,-0.01,0.0,0.03
0.44,-0.42,-10.0,-0.01,0.01,0.02
0.46,-0.4,-9.93,-0.01,0.0,0.03
0.44,-0.4,-9.95,-0.01,0.0,0.02
0.45,-0.45,-10.04,-0.01,0.01,0.03
0.45,-0.45,-10.04,-0.01,0.01,0.02
0.45,-0.43,-10.06,-0.01,0.0,0.03
0.47,-0.38,-10.02,-0.02,0.02,0.02
0.46,-0.36,-9.96,-0.01,0.01,0.03
0.46,-0.36,-9.96,-0.02,0.01,0.03
0.51,-0.39,-10.0,-0.01,0.01,0.03
0.38,-0.42,-9.83,-0.01,0.01,0.02
0.38,-0.42,-9.83,-0.01,0.0,0.02
0.34,-0.39,-9.99,-0.01,0.0,0.02
0.46,-0.42,-9.92,-0.01,0.01,0.03
0.4,-0.38,-10.0,-0.01,0.0,0.02
0.4,-0.38,-10.0,-0.01,0.01,0.02
0.48,-0.39,-10.03,-0.01,0.0,0.02
0.45,-0.38,-9.96,-0.01,0.01,0.02
0.48,-0.44,-10.0,-0.01,0.01,0.02
0.48,-0.44,-10.0,-0.02,0.01,0.02
0.45,-0.42,-9.99,-0.01,0.01,0.03
0.36,-0.42,-10.01,-0.01,0.02,0.03
0.53,-0.46,-10.12,-0.01,0.01,0.03
0.53,-0.46,-10.12,-0.01,0.01,0.03
0.44,-0.45,-9.95,-0.01,0.01,0.03
0.37,-0.46,-9.93,-0.01,0.01,0.02
0.37,-0.46,-9.93,-0.01,0.01,0.02
0.4,-0.44,-10.02,-0.02,0.01,0.03
0.4,-0.4,-9.99,-0.01,0.0,0.03
0.44,-0.39,-9.97,-0.01,0.0,0.02
0.44,-0.39,-9.97,-0.01,0.01,0.03
0.42,-0.41,-10.05,-0.01,0.01,0.02
0.42,-0.48,-10.05,-0.01,0.01,0.02
0.44,-0.45,-9.95,-0.02,0.01,0.03
0.44,-0.45,-9.95,-0.01,0.0,0.03
0.43,-0.48,-9.94,-0.01,0.01,0.03
0.41,-0.43,-9.97,-0.02,0.01,0.03
0.41,-0.43,-9.97,-0.01,0.0,0.03
0.45,-0.48,-10.03,-0.01,0.01,0.03
0.45,-0.39,-10.06,-0.01,0.01,0.03
0.44,-0.41,-9.97,-0.01,0.01,0.03
0.44,-0.41,-9.97,-0.01,0.01,0.02
0.46,-0.47,-10.01,-0.01,0.01,0.03
0.43,-0.38,-10.02,-0.01,-0.0,0.03
0.39,-0.4,-10.03,-0.01,0.01,0.03
0.39,-0.4,-10.03,-0.02,0.01,0.03
0.45,-0.45,-9.91,-0.01,0.01,0.02
0.41,-0.47,-10.03,-0.01,0.01,0.03
0.41,-0.47,-10.03,-0.01,0.01,0.02
0.41,-0.42,-10.01,-0.01,0.01,0.03
0.47,-0.39,-10.04,-0.01,0.01,0.03
0.43,-0.43,-10.05,-0.01,0.02,0.03
0.43,-0.43,-10.05,-0.01,0.01,0.02
0.61,-0.46,-10.27,-0.01,0.04,0.03
0.67,-0.63,-10.19,-0.02,0.01,0.02
0.59,-0.56,-9.36,-0.0,0.1,0.02
0.59,-0.56,-9.36,-0.01,0.08,0.03
0.61,-0.52,-9.91,-0.01,-0.08,0.04
0.07,-0.32,-10.25,-0.03,0.06,0.02
0.07,-0.32,-10.25,-0.01,0.04,0.02
0.11,-0.3,-10.12,-0.01,0.01,0.02
0.35,-0.44,-9.7,-0.01,0.02,0.02
0.59,-0.34,-9.61,-0.0,0.01,0.01
0.59,-0.34,-9.61,-0.01,-0.0,0.03
0.68,-0.51,-10.07,-0.01,0.02,0.03
0.65,-0.52,-10.2,-0.01,-0.01,0.03
0.55,-0.54,-9.94,-0.01,-0.01,0.03
0.55,-0.54,-9.94,-0.01,0.02,0.03
0.43,-0.57,-9.84,-0.02,-0.01,0.03
0.15,-0.25,-10.06,-0.01,0.01,0.03
0.12,-0.19,-10.05,-0.01,0.01,0.03
0.12,-0.19,-10.05,-0.02,-0.01,0.03
0.41,-0.36,-9.9,-0.01,0.03,0.02
0.75,-0.61,-9.92,-0.0,-0.01,0.03
0.75,-0.61,-9.92,-0.01,0.01,0.03
0.68,-0.57,-10.02,-0.01,0.0,0.03
0.38,-0.45,-9.94,-0.01,0.06,0.03
0.22,-0.31,-9.86,-0.01,-0.01,0.03
0.22,-0.31,-9.86,-0.01,0.0,0.02
0.25,-0.41,-10.02,-0.01,0.0,0.03
0.41,-0.41,-10.07,-0.01,0.02,0.03
0.46,-0.46,-9.99,-0.01,0.01,0.03
0.46,-0.46,-9.99,-0.01,0.0,0.03
0.59,-0.39,-9.97,-0.01,0.01,0.02
0.59,-0.52,-9.94,-0.01,0.0,0.03
0.59,-0.52,-9.94,-0.01,0.0,0.03
0.45,-0.39,-9.99,-0.01,0.01,0.03
0.3,-0.36,-9.91,-0.02,0.01,0.03
0.12,-0.34,-9.92,-0.01,-0.01,0.03
0.12,-0.34,-9.92,-0.01,0.0,0.02
