AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0.16,-0.11,-9.98,-0.01,0.01,0.03
0.3,-0.19,-9.93,-0.01,0.01,0.03
0.16,-0.21,-9.98,-0.02,0.0,0.02
0.18,-0.17,-9.98,-0.0,0.01,0.02
0.24,-0.15,-9.89,-0.01,0.0,0.03
0.18,-0.16,-10.0,-0.01,0.0,0.03
0.22,-0.21,-10.0,-0.0,0.01,0.02
0.22,-0.13,-10.03,-0.01,0.0,0.03
0.21,-0.14,-10.02,-0.01,0.0,0.02
0.24,-0.17,-9.99,-0.01,0.0,0.02
0.2,-0.1,-9.89,-0.01,0.01,0.02
0.21,-0.13,-9.99,-0.01,0.01,0.03
0.25,-0.13,-9.99,-0.02,0.01,0.03
0.22,-0.18,-9.99,-0.01,0.01,0.02
0.26,-0.16,-10.01,-0.01,0.0,0.02
0.3,-0.11,-10.03,-0.01,0.0,0.03
0.22,-0.08,-9.91,-0.01,0.01,0.03
0.23,-0.11,-10.06,-0.02,0.01,0.03
0.25,-0.11,-9.93,0.01,0.02,0.03
0.2,-0.16,-9.95,-0.02,0.0,0.02
0.27,-0.14,-10.0,0.0,0.01,0.03
0.18,-0.12,-10.01,-0.01,0.01,0.03
0.31,-0.1,-10.02,-0.01,0.01,0.03
0.23,-0.14,-10.0,-0.0,0.01,0.03
0.29,-0.18,-10.05,0.01,0.02,0.03
0.15,0.05,-9.96,-0.02,0.0,0.02
0.15,-0.03,-10.01,0.0,0.01,0.03
0.23,-0.11,-9.99,-0.02,0.0,0.03
0.18,-0.14,-9.89,-0.02,0.01,0.03
0.11,0.13,-9.89,-0.2,-0.05,0.01
0.28,-0.28,-10.02,-0.05,0.0,0.03
0.26,-0.21,-9.98,-0.04,0.0,0.02
0.21,-0.27,-9.98,-0.03,0.0,0.02
0.25,-0.23,-10.01,-0.01,0.0,0.02
0.23,-0.28,-9.99,-0.04,-0.0,0.02
0.26,-0.17,-10.01,-0.01,0.01,0.03
0.22,-0.17,-10.05,-0.01,0.01,0.03
0.25,-0.17,-9.95,-0.02,0.0,0.02
0.31,-0.18,-10.04,-0.01,0.0,0.03
0.19,-0.15,-9.94,-0.01,0.0,0.03
0.26,-0.23,-9.93,-0.01,0.01,0.02
0.17,-0.17,-10.02,-0.01,0.01,0.02
0.24,-0.19,-10.07,0.03,0.02,0.03
0.21,-0.17,-10.05,0.0,0.01,0.03
0.21,-0.17,-9.92,-0.0,0.01,0.03
0.25,-0.13,-9.87,0.0,0.01,0.02
0.17,-0.16,-10.03,-0.02,0.0,0.03
0.18,-0.21,-9.98,-0.01,0.01,0.03
0.21,-0.2,-9.91,-0.03,0.0,0.03
0.2,-0.15,-9.92,-0.02,0.01,0.03
0.19,-0.2,-9.97,-0.01,0.01,0.03
0.17,-0.17,-10.02,-0.01,0.0,0.02
0.17,-0.2,-9.94,-0.01,0.01,0.03
0.15,-0.16,-9.96,-0.01,0.01,0.03
0.23,-0.2,-9.83,0.04,0.03,0.02
0.23,-0.23,-10.06,0.0,0.01,0.02
0.18,-0.15,-9.97,-0.01,0.01,0.02
0.21,-0.19,-10.0,-0.02,0.01,0.03
0.27,-0.2,-10.07,-0.01,0.0,0.02
0.29,-0.19,-10.04,-0.01,0.0,0.03
0.31,-0.23,-10.21,-0.08,-0.02,0.02
0.18,-0.13,-9.98,0.0,0.01,0.03
0.23,-0.22,-10.03,-0.01,0.02,0.02
0.26,-0.24,-10.03,-0.01,0.01,0.03
0.35,-0.13,-10.01,-0.02,0.0,0.02
0.26,-0.25,-10.0,-0.01,0.01,0.03
0.2,-0.19,-9.98,-0.0,0.02,0.03
0.3,-0.19,-10.27,-0.02,0.01,0.02
0.23,-0.22,-10.07,-0.05,0.0,0.02
0.29,-0.19,-10.07,0.01,0.01,0.03
0.23,-0.14,-10.01,-0.01,0.01,0.02
0.18,-0.16,-10.0,-0.01,0.01,0.02
0.28,-0.15,-9.91,-0.01,0.0,0.03
0.26,-0.2,-9.9,0.01,0.01,0.03
0.26,-0.21,-10.05,0.02,0.02,0.02
0.23,-0.17,-10.02,-0.03,0.0,0.02
0.31,-0.17,-9.99,0.0,0.0,0.02
0.27,-0.18,-9.93,-0.01,0.02,0.01
0.28,-0.12,-9.96,-0.0,0.0,0.02
0.26,-0.22,-10.07,-0.02,0.01,0.03
0.26,-0.11,-9.93,-0.01,0.01,0.02
0.27,-0.21,-10.2,-0.07,-0.01,0.02
0.23,-0.23,-9.91,-0.0,0.01,0.03
0.27,-0.14,-9.97,-0.0,0.01,0.03
0.29,-0.21,-10.02,-0.01,0.0,0.02
0.17,-0.19,-10.03,-0.01,0.0,0.02
0.17,-0.18,-9.89,-0.02,0.01,0.03
0.23,-0.24,-10.04,0.02,0.02,0.03
0.28,-0.18,-10.02,-0.02,0.0,0.02
0.28,-0.28,-9.99,-0.0,0.0,0.04
0.26,-0.15,-9.98,-0.01,0.01,0.03
0.26,-0.14,-9.91,-0.01,0.01,0.02
0.23,-0.19,-10.01,-0.02,0.01,0.02
0.21,-0.23,-10.04,-0.02,0.0,0.03
0.27,-0.18,-10.03,0.01,0.01,0.02
0.3,-0.18,-9.96,-0.02,0.0,0.03
0.24,-0.17,-9.99,-0.01,0.01,0.02
0.27,-0.2,-10.0,-0.01,0.01,0.03
0.27,-0.12,-9.94,-0.01,0.01,0.02
0.27,-0.17,-9.97,-0.0,0.01,0.01
0.22,-0.13,-9.95,-0.04,0.0,0.03
0.19,-0.18,-10.04,-0.01,0.01,0.02
0.28,-0.17,-9.95,-0.01,0.01,0.02
0.29,-0.17,-9.92,-0.01,0.01,0.02
0.28,-0.17,-9.91,0.0,0.0,0.02
0.25,-0.16,-9.96,-0.01,0.01,0.03
0.27,-0.23,-9.91,-0.02,0.0,0.02
0.25,-0.11,-10.02,-0.0,0.0,0.02
0.26,-0.2,-9.98,-0.01,0.0,0.03
0.24,-0.15,-9.95,-0.01,0.0,0.02
0.24,-0.22,-10.01,-0.0,0.02,0.02
0.24,-0.13,-9.92,-0.01,0.0,0.03
0.25,-0.17,-10.02,-0.0,0.01,0.03
0.25,-0.18,-9.91,-0.01,0.01,0.03
0.22,-0.15,-9.98,-0.01,0.01,0.03
0.22,-0.19,-9.91,0.0,0.01,0.03
0.19,-0.22,-9.91,-0.01,-0.0,0.03
0.31,-0.17,-9.94,-0.02,0.0,0.03
0.27,-0.21,-9.97,-0.01,0.01,0.02
0.21,-0.16,-9.95,-0.01,0.01,0.03
0.27,-0.16,-9.97,0.0,0.01,0.03
0.24,-0.21,-9.97,-0.01,0.0,0.02
0.27,-0.18,-10.03,-0.02,-0.0,0.03
0.23,-0.16,-10.04,-0.0,0.01,0.02
0.27,-0.11,-9.97,0.01,0.01,0.02
0.23,-0.2,-9.95,0.0,0.01,0.03
0.24,-0.23,-9.98,-0.0,0.01,0.02
0.2,-0.22,-9.98,-0.01,0.01,0.02
0.25,-0.17,-9.98,-0.01,0.01,0.02
0.22,-0.19,-10.01,-0.01,0.01,0.03
0.26,-0.23,-9.94,-0.01,0.01,0.03
0.28,-0.17,-9.99,-0.01,0.01,0.03
0.25,-0.18,-9.99,-0.03,0.01,0.02
0.19,-0.21,-9.97,-0.0,0.01,0.03
0.26,-0.15,-10.0,-0.01,0.01,0.03
0.26,-0.2,-10.08,-0.01,0.01,0.03
0.32,-0.21,-10.01,-0.01,0.02,0.03
0.19,-0.19,-9.96,0.01,0.02,0.03
0.31,-0.22,-9.95,-0.01,0.01,0.03
0.33,-0.23,-9.98,-0.02,0.0,0.02
0.3,-0.23,-10.04,-0.01,0.01,0.02
0.19,-0.18,-9.98,-0.01,0.01,0.02
0.24,-0.19,-9.96,-0.01,0.01,0.02
0.22,-0.19,-9.98,-0.01,0.01,0.03
0.29,-0.19,-9.94,-0.01,0.01,0.02
0.22,-0.2,-9.98,-0.06,-0.0,0.02
0.24,-0.18,-10.04,-0.01,0.01,0.03
0.22,-0.19,-9.94,-0.01,0.0,0.03
0.28,-0.15,-10.03,-0.01,0.01,0.03
0.24,-0.24,-9.93,-0.0,0.01,0.02
0.2,-0.18,-9.97,-0.01,0.01,0.03
0.26,-0.11,-9.96,-0.01,0.01,0.03
0.27,-0.19,-10.04,-0.01,0.01,0.03
0.26,-0.14,-10.04,-0.01,0.01,0.03
0.24,-0.2,-9.96,-0.02,-0.0,0.02
0.17,-0.21,-10.04,-0.01,0.01,0.03
0.23,-0.24,-9.97,-0.01,0.0,0.03
0.17,-0.21,-9.87,-0.04,0.0,0.02
0.2,-0.21,-10.0,-0.02,0.01,0.02
0.26,-0.16,-9.96,-0.01,0.01,0.02
0.18,-0.2,-9.96,-0.01,0.01,0.03
0.19,-0.19,-10.02,-0.0,0.01,0.03
0.26,-0.19,-9.96,-0.01,0.0,0.02
0.28,-0.15,-9.95,-0.01,0.01,0.02
0.29,-0.21,-10.01,-0.01,0.01,0.03
0.28,-0.13,-9.96,0.0,0.02,0.04
0.28,-0.22,-10.05,-0.01,0.0,0.03
0.26,-0.22,-9.93,-0.01,0.01,0.03
0.26,-0.16,-10.03,-0.01,0.0,0.03
0.3,-0.17,-10.01,-0.01,0.0,0.03
0.19,-0.2,-9.99,-0.01,0.01,0.03
0.23,-0.19,-9.99,-0.01,0.01,0.03
0.2,-0.17,-10.01,-0.01,0.01,0.03
0.22,-0.13,-9.87,0.1,0.05,0.03
0.28,-0.09,-9.67,-0.14,-0.03,0.02
0.32,-0.12,-10.01,0.03,0.02,0.02
0.25,-0.21,-10.0,-0.03,0.01,0.02
0.3,-0.18,-10.1,-0.02,0.01,0.02
0.27,-0.21,-10.01,-0.03,0.0,0.02
0.27,-0.24,-9.97,0.0,0.01,0.03
0.21,-0.19,-10.06,-0.02,0.01,0.03
0.29,-0.17,-9.99,-0.02,0.01,0.03
0.22,-0.24,-10.01,-0.02,0.01,0.03
0.28,-0.17,-10.01,-0.02,0.01,0.03
0.27,-0.2,-10.04,-0.01,0.01,0.03
0.26,-0.16,-9.97,-0.01,0.01,0.02
0.23,-0.24,-9.99,-0.03,0.01,0.03
0.25,-0.23,-9.92,-0.01,0.01,0.03
0.29,-0.19,-9.98,-0.0,0.01,0.02
0.29,-0.17,-9.99,-0.01,0.01,0.02
0.21,-0.14,-10.02,-0.01,0.01,0.02
0.24,-0.15,-9.97,-0.01,0.0,0.03
0.2,-0.23,-9.95,-0.02,0.0,0.02
0.29,-0.21,-10.01,-0.02,0.0,0.03
0.96,-0.93,-8.7,-2.88,-1.1,-2.34
-0.24,1.78,-9.84,0.08,0.02,-0.01
-0.51,1.92,-9.82,-0.23,-0.11,0.03
-0.58,2.43,-9.57,-0.48,-0.08,0.28
-1.26,3.17,-9.38,-1.58,-0.12,0.26
-0.69,4.36,-8.78,-1.06,0.03,-0.06
-0.63,5.52,-8.14,-2.04,-0.09,0.14
-0.6,7.56,-5.91,-1.55,-0.06,0.12
-0.62,8.41,-4.62,-2.69,-0.01,0.13
-0.51,9.25,-2.62,-1.26,-0.04,0.09
-0.47,9.47,-1.78,-0.94,-0.04,0.07
-0.45,9.52,-0.81,-1.14,0.03,0.18
-0.33,9.55,-0.02,-0.38,-0.07,0.08
-0.31,9.66,0.11,-0.01,0.01,0.03
-0.36,9.85,0.02,0.0,-0.36,0.04
-0.38,9.56,-0.05,-0.02,0.01,0.03
-0.26,9.67,0.09,-0.02,0.01,0.03
-0.32,9.62,0.1,-0.02,0.0,0.03
-0.32,9.66,0.09,0.0,0.01,0.03
-0.33,9.6,0.13,-0.01,0.01,0.02
-0.38,9.48,0.04,-0.01,0.0,0.02
-0.38,9.65,0.08,-0.01,0.0,0.03
-0.44,9.63,0.17,0.01,0.35,0.03
-0.32,9.62,0.17,-0.02,0.03,0.02
-0.33,9.67,0.13,-0.01,0.01,0.02
-0.37,9.64,0.1,0.0,0.01,0.02
-0.31,9.21,0.07,-0.03,0.01,0.03
-0.4,9.7,0.11,-0.01,0.02,0.03
-0.34,9.62,0.11,-0.01,0.01,0.02
-0.32,9.57,0.16,-0.03,0.01,0.03
-0.32,9.66,0.11,-0.01,0.29,0.02
-0.37,9.49,0.1,-0.02,0.02,0.02
-0.3,9.71,0.44,0.03,-0.18,0.03
-0.32,9.58,0.07,-0.01,0.01,0.03
-0.34,9.61,0.17,-0.0,0.01,0.02
-0.35,9.6,0.04,0.0,-0.17,0.03
-0.24,9.23,0.23,-0.04,0.01,0.02
-0.3,9.69,0.14,-0.03,-0.0,0.02
-0.37,9.67,0.08,-0.01,0.01,0.03
-0.32,9.53,0.14,-0.03,0.01,0.03
-0.34,9.6,0.15,-0.02,0.0,0.02
-0.31,9.75,0.09,0.0,0.01,0.03
-0.31,9.68,-0.03,-0.0,0.01,0.03
-0.34,9.63,0.17,-0.02,0.03,0.02
-0.44,9.71,0.11,0.0,0.03,0.02
-0.28,9.63,0.06,-0.0,0.01,0.03
-0.33,9.61,-0.1,-0.02,-0.09,0.02
-0.44,9.59,-0.19,-0.12,-0.07,0.04
-0.4,9.65,0.09,-0.01,0.01,0.03
-0.35,9.62,0.07,-0.01,0.0,0.02
-0.32,9.59,0.06,-0.01,0.01,0.03
-0.33,9.69,0.05,-0.01,0.01,0.02
-0.39,9.65,0.09,-0.01,0.01,0.02
-0.33,9.57,0.04,-0.02,0.01,0.03
-0.31,9.68,0.09,-0.01,0.0,0.02
-0.33,9.59,0.01,-0.0,0.01,0.02
-0.31,9.58,0.11,-0.01,0.01,0.03
-0.3,9.7,0.11,-0.03,0.01,0.02
-0.37,9.59,0.11,-0.0,0.01,0.02
-0.32,9.62,0.15,-0.01,0.01,0.03
-0.34,9.59,0.09,-0.02,0.01,0.03
-0.32,9.64,0.09,-0.02,0.0,0.03
-0.36,9.62,0.12,-0.01,0.0,0.03
-0.25,9.66,0.12,-0.01,0.0,0.02
-0.34,9.57,0.09,-0.01,0.0,0.03
-0.32,9.6,0.05,-0.01,0.0,0.02
-0.31,9.58,0.06,-0.01,0.01,0.02
-0.29,9.62,0.13,-0.01,0.01,0.02
-0.36,9.6,0.12,-0.01,0.01,0.02
-0.34,9.58,0.1,-0.01,0.01,0.03
-0.33,9.59,0.08,-0.01,0.01,0.02
-0.32,9.61,0.01,-0.01,0.0,0.03
-0.36,9.61,0.08,-0.01,0.0,0.02
-0.33,9.67,0.11,-0.01,0.01,0.01
-0.34,9.58,0.07,-0.01,0.01,0.03
-0.34,9.53,0.06,-0.01,0.01,0.02
-0.33,9.63,0.13,-0.01,0.01,0.03
-0.29,9.65,0.1,-0.02,0.01,0.03
-0.33,9.61,0.14,-0.01,0.0,0.03
-0.28,9.63,0.1,-0.02,0.01,0.02
-0.85,11.08,-0.01,0.0,0.01,0.01
-0.4,9.92,0.07,0.0,0.01,0.02
-0.31,9.63,0.12,-0.02,0.01,0.03
-0.32,9.62,0.07,-0.01,0.0,0.03
-0.3,9.61,0.03,-0.01,0.01,0.03
-0.34,9.69,0.1,-0.02,0.01,0.03
-0.39,9.61,0.08,-0.01,0.01,0.02
-0.3,9.62,0.11,-0.01,0.01,0.02
-0.27,9.65,0.09,-0.02,0.0,0.02
-0.23,9.6,0.09,-0.01,0.01,0.02
-0.33,9.57,0.12,-0.01,0.01,0.02
-0.29,9.65,0.1,-0.02,0.01,0.03
-0.3,9.62,0.08,-0.01,0.01,0.01
-0.3,9.58,0.04,-0.01,0.01,0.02
-0.28,9.65,0.11,-0.01,0.0,0.03
-0.3,9.76,0.05,0.01,0.01,0.03
-0.31,9.62,0.1,-0.02,0.01,0.03
-0.34,9.61,0.08,-0.01,0.01,0.03
-0.33,9.61,0.04,-0.01,0.01,0.03
-0.34,9.64,0.15,-0.01,0.0,0.03
-0.34,9.42,0.12,-0.04,0.01,0.02
-0.3,9.71,0.12,-0.02,0.01,0.03
-0.34,9.65,0.12,-0.01,0.01,0.02
-0.34,9.57,0.08,-0.02,0.01,0.02
-0.34,9.61,0.04,-0.01,0.01,0.03
-0.27,9.6,0.07,-0.01,0.01,0.02
-0.29,9.63,0.02,-0.01,0.0,0.02
-0.29,9.64,0.22,-0.01,0.0,0.02
-0.35,9.61,0.16,-0.01,0.0,0.03
